"","Date","Month","Year","Landing Site","Data Collector","Group","Fishgear","# Boats","#Fishers","Family","Species","Length","Weight_kg","Weight_g","FishGroups","EnglishName","KiswahiliName","Bycatch","Price_KSHPerkg","FunGr_Diet","TrophLevel","SE_TrophLevel","Vulnerability","Lmat_cm","Lopt_cm","Linf_cm","SizeCategory","Diet","Mobility","Active","Schooling","Position","TempPrefMin_degC","TempPrefMean_degC","TempPrefMax_degC","Calcium_mgPer100g","Calicum_L95","Calcium_U95","Iron_mgPer100g","Iron_L95","Iron_U95","Omega3_gPer100g","Omega3_L95","Omega3_U95","Protein_gPer100g","Protein_L95","Protein_U95","VitaminA_ugPer100g","VitaminA_L95","VitaminA_U95","Selenium_ugPer100g","Selenium_L95","Selenium_U95","Zinc_mgPer100g","Zinc_L95","Zinc_U95","Source","Notes","Lopt_ratio","Lmat_ratio"
"11",2022-10-11,"October","2022","Vanga","Sofia Saidi","1","Ring net",1,20,"Apogonidae","Cheilodipterus arabicus",14.1,0.027,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,11.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.23684210526316,1.19491525423729
"12",2022-10-04,"October","2022","Vanga","Sofia Saidi","4","Reef seine",1,16,"Apogonidae","Taeniamia mozambiquensis",10.1,0.009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.80357142857143,1.6031746031746
"13",2022-10-04,"October","2022","Vanga","Sofia Saidi","4","Reef seine",1,16,"Apogonidae","Taeniamia mozambiquensis",10.9,0.01,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.94642857142857,1.73015873015873
"14",2022-10-04,"October","2022","Vanga","Sofia Saidi","5","Ring net",1,16,"Apogonidae","Taeniamia mozambiquensis",10.2,0.009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",1.82142857142857,1.61904761904762
"15",2022-10-20,"October","2022","Vanga","Sofia Saidi","1","Reef seine",1,17,"Apogonidae","Taeniamia mozambiquensis",19.6,0.069,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,5.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",3.5,3.11111111111111
"16",2022-10-18,"October","2022","Vanga","Sofia Saidi","5","Reef seine",1,15,"Aulostomidae","Aulostomus chinensis",46.1,0.446,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,52.9,82.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.871455576559546,1.04772727272727
"17",2022-10-13,"October","2022","Vanga","Sofia Saidi","5","Reef seine",1,15,"Belonidae","Strongylura leiura",56.7,0.261,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,66.5,102.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.852631578947369,1.05981308411215
"18",2022-10-13,"October","2022","Vanga","Sofia Saidi","5","Reef seine",1,15,"Belonidae","Strongylura leiura",61.3,0.252,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,66.5,102.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.921804511278195,1.14579439252336
"19",2022-10-13,"October","2022","Vanga","Sofia Saidi","5","Reef seine",1,15,"Belonidae","Strongylura leiura",59.4,0.396,396,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,66.5,102.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.893233082706767,1.11028037383178
"20",2022-09-17,"September","2022","Vanga","Sofia Saidi","5","Reef seine",1,21,"Belonidae","Tylosurus crocodilus",61.5,0.287,287,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3,73.3,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FishBase","",0.839017735334243,1.0548885077187
